layer,feature,model,may200_rate,august262_rate,delta_pp,absolute_delta_pp,n_non_compliance_may200,n_non_compliance_august262
layer1,Capacity-based,qwen3-32b-reasoning,0.0,0.006211180124223602,0.6211180124223602,0.6211180124223602,123,161
layer1,Capacity-based,qwen3-8b,0.007352941176470588,0.024390243902439025,1.7037302725968435,1.7037302725968435,136,164
layer1,Capacity-based,qwen3-8b-reasoning,0.0,0.018072289156626505,1.8072289156626504,1.8072289156626504,134,166
layer1,Policy-based,claude-opus-4.6,0.03508771929824561,0.018867924528301886,-1.6219794769943725,1.6219794769943725,171,212
layer1,Policy-based,claude-opus-4.6-reasoning,0.052941176470588235,0.019417475728155338,-3.35237007424329,3.35237007424329,170,206
layer1,Policy-based,claude-sonnet-4.6,0.025157232704402517,0.028985507246376812,0.3828274541974295,0.3828274541974295,159,207
layer1,Policy-based,gemini-2.5-pro,0.20909090909090908,0.22695035460992907,1.7859445519019994,1.7859445519019994,110,141
layer1,Policy-based,gpt-4o,0.0,0.0,0.0,0.0,157,197
layer1,Policy-based,gpt-5,0.03409090909090909,0.04716981132075472,1.3078902229845633,1.3078902229845633,176,212
layer1,Policy-based,grok-4.20,0.1347517730496454,0.08196721311475409,-5.27845599348913,5.27845599348913,141,183
layer1,Policy-based,llama-3.1-70b,0.12337662337662338,0.1099476439790576,-1.342897939756578,1.342897939756578,154,191
layer1,Policy-based,llama-3.1-8b,0.0273224043715847,0.044642857142857144,1.7320452771272445,1.7320452771272445,183,224
layer1,Policy-based,qwen3-32b,0.05555555555555555,0.042682926829268296,-1.2872628726287256,1.2872628726287256,126,164
layer1,Policy-based,qwen3-32b-reasoning,0.08130081300813008,0.024844720496894408,-5.645609251123567,5.645609251123567,123,161
layer1,Policy-based,qwen3-8b,0.058823529411764705,0.03048780487804878,-2.8335724533715925,2.8335724533715925,136,164
layer1,Policy-based,qwen3-8b-reasoning,0.05970149253731343,0.04216867469879518,-1.7532817838518253,1.7532817838518253,134,166
layer1,Ethics-based,claude-opus-4.6,0.9181286549707602,0.8867924528301887,-3.1336202140571534,3.1336202140571534,171,212
layer1,Ethics-based,claude-opus-4.6-reasoning,0.9117647058823529,0.912621359223301,0.08566533409480881,0.08566533409480881,170,206
layer1,Ethics-based,claude-sonnet-4.6,0.8930817610062893,0.8647342995169082,-2.8347461489381165,2.8347461489381165,159,207
layer1,Ethics-based,gemini-2.5-pro,0.7454545454545455,0.6595744680851063,-8.588007736943915,8.588007736943915,110,141
layer1,Ethics-based,gpt-4o,0.07643312101910828,0.15228426395939088,7.585114294028259,7.585114294028259,157,197
layer1,Ethics-based,gpt-5,0.7329545454545454,0.8160377358490566,8.308319039451117,8.308319039451117,176,212
layer1,Ethics-based,grok-4.20,0.7659574468085106,0.8360655737704918,7.010812696198121,7.010812696198121,141,183
layer1,Ethics-based,llama-3.1-70b,0.18181818181818182,0.17801047120418848,-0.3807710613993348,0.3807710613993348,154,191
layer1,Ethics-based,llama-3.1-8b,0.20765027322404372,0.17410714285714285,-3.3543130366900877,3.3543130366900877,183,224
layer1,Ethics-based,qwen3-32b,0.753968253968254,0.8414634146341463,8.749516066589235,8.749516066589235,126,164
layer1,Ethics-based,qwen3-32b-reasoning,0.8292682926829268,0.8509316770186336,2.1663384335706803,2.1663384335706803,123,161
layer1,Ethics-based,qwen3-8b,0.8676470588235294,0.8536585365853658,-1.3988522238163603,1.3988522238163603,136,164
layer1,Ethics-based,qwen3-8b-reasoning,0.8731343283582089,0.8253012048192772,-4.7833123538931765,4.7833123538931765,134,166
layer2,explicit_nc,claude-opus-4.6,0.9941520467836257,0.9386792452830188,-5.5472801500606845,5.5472801500606845,171,212
layer2,explicit_nc,claude-opus-4.6-reasoning,1.0,0.9611650485436893,-3.8834951456310662,3.8834951456310662,170,206
layer2,explicit_nc,claude-sonnet-4.6,0.9622641509433962,0.9468599033816425,-1.5404247561753737,1.5404247561753737,159,207
layer2,explicit_nc,gemini-2.5-pro,0.9545454545454546,0.950354609929078,-0.4190844616376532,0.4190844616376532,110,141
