layer,feature,model,may_rate,august_rate,delta_pp,absolute_delta_pp,n_non_compliance_may,n_non_compliance_august
layer2,implicit_nc,claude-opus-4.6-reasoning,0.0,0.0380952380952381,3.8095238095238098,3.8095238095238098,115,105
layer2,implicit_nc,claude-sonnet-4.6,0.05504587155963303,0.07407407407407407,1.902820251444104,1.902820251444104,109,108
layer2,implicit_nc,gemini-2.5-pro,0.058823529411764705,0.024691358024691357,-3.413217138707335,3.413217138707335,85,81
layer2,implicit_nc,gpt-4o,0.12380952380952381,0.15,2.619047619047618,2.619047619047618,105,100
layer2,implicit_nc,gpt-5,0.016666666666666666,0.017543859649122806,0.08771929824561396,0.08771929824561396,120,114
layer2,implicit_nc,grok-4.20,0.0660377358490566,0.037037037037037035,-2.900069881201957,2.900069881201957,106,108
layer2,implicit_nc,llama-3.1-70b,0.07766990291262135,0.06542056074766354,-1.2249342164957808,1.2249342164957808,103,107
layer2,implicit_nc,llama-3.1-8b,0.023809523809523808,0.00847457627118644,-1.5334947538337367,1.5334947538337367,126,118
layer2,implicit_nc,qwen3-32b,0.2717391304347826,0.29347826086956524,2.173913043478265,2.173913043478265,92,92
layer2,implicit_nc,qwen3-32b-reasoning,0.3111111111111111,0.2808988764044944,-3.0212234706616714,3.0212234706616714,90,89
layer2,implicit_nc,qwen3-8b,0.37373737373737376,0.4,2.6262626262626263,2.6262626262626263,99,90
layer2,implicit_nc,qwen3-8b-reasoning,0.3958333333333333,0.46236559139784944,6.653225806451612,6.653225806451612,96,93
layer2,apology,claude-opus-4.6,0.0,0.017699115044247787,1.7699115044247788,1.7699115044247788,118,113
layer2,apology,claude-opus-4.6-reasoning,0.0,0.0,0.0,0.0,115,105
layer2,apology,claude-sonnet-4.6,0.0,0.0,0.0,0.0,109,108
layer2,apology,gemini-2.5-pro,0.047058823529411764,0.037037037037037035,-1.002178649237473,1.002178649237473,85,81
layer2,apology,gpt-4o,0.9238095238095239,0.91,-1.3809523809523827,1.3809523809523827,105,100
layer2,apology,gpt-5,0.39166666666666666,0.30701754385964913,-8.464912280701753,8.464912280701753,120,114
layer2,apology,grok-4.20,0.16981132075471697,0.08333333333333333,-8.647798742138365,8.647798742138365,106,108
layer2,apology,llama-3.1-70b,0.0,0.0,0.0,0.0,103,107
layer2,apology,llama-3.1-8b,0.0,0.0,0.0,0.0,126,118
layer2,apology,qwen3-32b,0.5652173913043478,0.5543478260869565,-1.0869565217391242,1.0869565217391242,92,92
layer2,apology,qwen3-32b-reasoning,0.5777777777777777,0.5842696629213483,0.6491885143570575,0.6491885143570575,90,89
